,EmployeeNumber,Age,Tenure,Turnover,HourlyRate,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn
0,1,28,6,Yes,24.37,40,Salary,50689.6,89.0,Research,Female,Married,3.0,7.0,Mail Check,Yes
1,2,33,2,Yes,24.37,40,Salary,50689.6,89.0,Research,Female,Married,6.0,7.0,Mail Check,Yes
2,3,22,1,No,22.52,40,Salary,46841.6,35.0,Human Resources,Female,Single,1.0,8.0,Mail Check,Yes
3,4,23,1,No,22.52,40,Salary,46841.6,35.0,Human Resources,Female,Single,3.0,14.9435790506562,Mail Check,Yes
4,5,40,6,No,88.77,40,Salary,284641.6,57.7366990846682,Sales,Prefer Not to Answer,Single,7.0,14.9435790506562,Mail Check,Yes
5,6,45,16,Yes,88.77,40,Salary,284641.6,57.7366990846682,Sales,Prefer Not to Answer,Single,4.219985164776942,19.0,Mail Check,
6,7,34,6,No,28.43,40,Salary,59134.4,57.73669908466819,Human Resources,Male,Single,2.0,23.0,Mail Check,Yes
7,8,37,9,Yes,28.43,40,Salary,59134.4,57.73669908466819,Human Resources,Male,Single,1.0,25.0,Mail Check,Yes
8,9,23,1,No,21.87,40,Salary,45489.6,76.0,Human Resources,Female,Single,1.0,14.9435790506562,Mail Check,Yes
9,10,24,1,Yes,21.87,40,Salary,45489.6,76.0,Human Resources,Female,Single,2.0,9.0,Mail Check,Yes
10,11,30,3,Yes,29.54,40,Salary,61443.2,57.7366990846682,Laboratory,Female,Divorced,3.0,6.0,Mail Check,Yes
11,12,34,8,Yes,29.54,40,Salary,61443.2,57.7366990846682,Laboratory,Female,Divorced,1.0,6.0,Mail Check,Yes
12,13,38,4,Yes,85.24,40,Salary,177299.2,57.73669908466819,Research,Male,Single,6.0,14.9435790506562,Mail Check,
13,14,47,16,Yes,85.24,40,Salary,177299.2,57.73669908466819,Research,Male,Single,5.0,5.0,Mail Check,Yes
14,15,30,2,Yes,30.42,40,Salary,63273.6,36.0,Human Resources,Female,Married,2.0,6.0,Mail Check,Yes
15,16,38,1,No,30.42,40,Salary,63273.6,36.0,Human Resources,Female,Married,3.0,5.0,Mail Check,Yes
16,17,55,20,Yes,88.5,40,Salary,284080.0,60.0,Human Resources,Prefer Not to Answer,Married,7.0,9.0,Mail Check,Yes
17,18,59,16,Yes,88.5,40,Salary,284080.0,60.0,Human Resources,Prefer Not to Answer,Married,5.0,14.9435790506562,Mail Check,Yes
18,19,29,1,Yes,24.3,40,Salary,50544.0,57.73669908466819,Sales,Female,Married,1.0,14.9435790506562,Mail Check,Yes
19,20,35,10,No,24.3,40,Salary,50544.0,57.73669908466819,Sales,Female,Married,5.0,15.0,Mail Check,Yes
20,21,30,6,No,26.28,40,Salary,54662.4,57.7366990846682,Research,Female,Married,3.0,14.9435790506562,Direct Deposit,Yes
21,22,37,7,Yes,26.28,40,Salary,54662.4,57.7366990846682,Research,Female,Married,5.0,15.0,Direct Deposit,Yes
22,23,44,9,No,87.22,40,Salary,281417.6,75.0,Manufacturing,Female,Divorced,2.0,16.0,Mail Check,Yes
